diff_rank,draw,loss,win
-1.0,0.213610670718,0.619402435744,0.166986893791
-0.9,0.230012432817,0.579363662756,0.190623904715
-0.8,0.244132114514,0.54089807975,0.214969806049
-0.7,0.25596971581,0.504005686727,0.240024597792
-0.6,0.265525236706,0.468686483687,0.265788279946
-0.5,0.2727986772,0.434940470628,0.292260852508
-0.4,0.277790037294,0.402767647553,0.319442315481
-0.3,0.280499316986,0.372168014459,0.347332668863
-0.2,0.280926516278,0.343141571348,0.375931912654
-0.1,0.279071635169,0.315688318219,0.405240046855
0.0,0.274934673658,0.289808255073,0.435257071466
0.1,0.268515631747,0.265501381909,0.465982986487
0.2,0.259814509435,0.242767698727,0.497417791917
0.3,0.248831306721,0.221607205528,0.529561487756
0.4,0.235566023607,0.202019902311,0.562414074006
0.5,0.220018660092,0.184005789077,0.595975550664
0.6,0.202189216176,0.167564865825,0.630245917733
0.7,0.182077691859,0.152697132555,0.665225175211
0.8,0.159684087141,0.139402589268,0.700913323099
0.9,0.135008402022,0.127681235963,0.737310361396
1.0,0.108050636502,0.117533072641,0.774416290103
