0,23.8250021190.756964686534
1,25.18758411240.76392871127
2,24.04071799490.755336131947
3,30.60053669980.804347502898
4,24.24166585730.762353420102
5,25.11568417730.745914721942
6,24.78149708950.753226201362
7,24.2366564370.763462073258
8,28.31902600030.7664772401
9,24.11163639470.7592532004
10,25.54511971680.753366087093
11,23.61414351430.745966987239
12,26.65054032190.76074239406
13,24.65905576420.751037040883
14,23.62038138610.760940287211
15,24.00321148190.757399213649
17,23.87759845730.754210827851
18,23.86407752280.758330904827
19,25.38075084560.761974266345
20,23.71851790360.781484381081
21,25.24733341230.754762232435
22,22.69993795010.804490227752
23,23.90432231510.758743984794
24,21.83750374540.795165831679
25,24.78951319570.755303125168
26,24.37494754030.746797984877
27,23.91983678790.754280518363
28,23.54917354020.757198781768
29,23.42174669430.753712905368
30,23.9300833010.758692706495
31,27.60174161570.765457827863
32,24.76590800180.748354362652
33,22.16333803020.759278171013
34,24.39993910740.765765500659
35,23.48284646520.768923102233
36,24.32278825140.756456563144
37,22.34354355030.759782324881
38,24.4614060490.757680113325
39,24.23187326540.751209362244
40,23.83002294890.753580653819
41,24.04583608620.754064030074
42,26.8090944090.755319527327
43,25.21535919090.746347280972
44,26.04281961320.759726254873
45,25.62465015620.755695845514
46,22.6871534230.808711613964
47,25.67973150070.758180921989
48,24.00082848710.752363819194
49,25.34845458940.760563372296
50,24.57138834260.755261240612
51,26.03921424940.759450497483
52,22.78308642640.759931399952
53,26.40532699930.760991779014
54,23.56930423171.38024289346
55,24.31778976170.757304916583
56,23.14499981421.06068943428
57,24.2321822270.756478206406
58,24.62699529990.75668695207
59,23.21679537950.755930315502
60,22.5384349060.771483525861
61,18.56869313741.18599711623
62,24.05490088610.754382324771
63,22.84128736570.760989577979
64,24.26082672560.769548084268
65,27.82954826470.764098566803
66,24.3802006780.754787436587
67,28.92927020080.777270365473
68,25.31641964090.751498450914
69,24.87498457670.752707824011
70,24.51288535010.756604705016
71,25.85292091340.75522525281
72,22.66091614140.806910747365
73,24.62861579660.755265469098
74,23.95085700560.756641444747
75,24.03931768290.753265897732
76,23.19748969410.761674246215
77,23.32285268860.756617018298
78,20.26520556470.922514483951
79,22.48895278040.818330359958
80,22.58464946570.761155104481
81,20.67336636591.13683947172
82,22.3842191410.762700435454
83,21.26987148211.10214451017
84,22.85279228070.782255059188
85,24.67321780170.772505630765
86,27.60251403170.754366990127
87,24.31403152760.753436879527
88,22.13067981750.804867283468
89,24.38427554760.74878866561
91,23.20942480090.764010638882
92,25.40196959670.746727664447
94,24.92083696211.08015765556
95,23.9122130390.770920525969
96,25.49449709480.752597988148
97,22.11034135940.769166945965
98,30.04389771970.789857435103
99,23.3966553740.755452932322
100,24.19478936790.749456328309
101,24.50454761120.751640523401
102,25.18265381530.751527157891
103,24.02956801050.765478993465
104,26.42544976850.754079139646
106,22.27735881691.10264913772
107,25.0198381260.768279619562
108,23.50560048670.778011650451
109,25.24627701950.753617614408
110,21.26442957760.890827710608
111,24.63378100970.758065232169
112,25.45519509460.770257587811
113,25.7290869590.758142396681
114,25.77848243490.747946679444
115,25.62858879530.765578753906
116,24.54329247050.769373181454
117,25.14352419270.756878156647
118,25.65487572770.761448174509
119,24.17942698630.753790654583
120,25.42146029150.761271128435
121,23.25691234130.759112109893
122,25.00278830890.76247161504
123,25.87372163620.753674014205
125,24.90250300240.765799607066
126,24.05903501670.770640567631
127,24.15904258430.751651782219
128,27.29867549730.768445801598
129,24.56041178740.760235068445
130,23.51212745780.752948843923
131,24.77726920460.76108058133
132,23.12862138020.765882526297
134,24.62236552660.755732657993
135,23.14742172830.912493659015
136,26.48642171020.758636198579
138,25.27834925440.756042311734
139,24.06749875520.760862959186
140,19.11814927181.20548401952
141,25.35497200920.753401580064
142,24.92501958051.42831563344
143,23.64722821050.76676620181
144,25.92768543710.756125280692
145,22.66543445240.77111062327
146,22.93087921530.870879015563
147,20.44377520980.932037539925
